Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
52.278976,0.00024517055,49.32775687571354,8.565774041398889,0,1,6354.1387,-0.010411297,5,1,false,false,-0.64968824,1.7520062,8.748272,2.0116196,-0.008590466,3
52.30465,0.00043757874,49.32776397907406,8.565768813652499,0,1,6350.018,-0.012105938,5,1,false,false,-0.665,1.3701208,9.302952,2.011461,-0.0076009366,3
52.32486,0.00063007465,49.32777099243178,8.565763723610962,0,1,6373.1943,-0.013801522,5,1,false,false,-0.40218195,1.2106119,9.153832,2.0112908,-0.009470599,3
52.347927,0.00082264387,49.3277780956551,8.565758495864571,0,1,6410.191,-0.014285571,5,1,false,false,-0.4696266,1.565465,8.849759,2.0111153,-0.01137316,3
52.37788,0.0010153137,49.327785199015615,8.565753268118183,0,1,6399.9355,-0.01259093,5,1,false,false,-0.70200515,1.9831672,8.804971,2.010913,-0.013863345,3
52.411617,0.0012081044,49.32779221237334,8.565748040371794,0,1,6374.2583,-0.012590928,5,1,false,false,-0.666255,2.0349312,9.586157,2.010697,-0.013055645,3
52.44179,0.0014010108,49.32779931559666,8.565742812625404,0,1,6371.619,-0.012833422,5,1,false,false,-0.47838795,1.7248904,9.332468,2.0104828,-0.011743041,3
52.468952,0.0015940234,49.327806418957174,8.565737722583867,0,1,6378.2275,-0.012348433,5,1,false,false,-0.8980117,1.6301023,9.486646,2.0103064,-0.011049591,3
52.49587,0.0017871362,49.32781352218049,8.565732494837478,0,1,6379.111,-0.009200705,5,1,false,false,-0.7920523,1.6551154,9.861775,2.010114,-0.011599328,3
52.52228,0.0019803517,49.32782062554101,8.565727267091088,0,1,6381.011,-0.008959147,5,1,false,false,-0.7726379,1.593552,9.903327,2.009912,-0.012276538,3
52.54923,0.002173663,49.327827728764326,8.5657220393447,0,1,6388.1646,-0.0075060586,5,1,false,false,-0.49507582,1.6027853,9.868859,2.0097156,-0.0104145715,3
52.575924,0.0023670741,49.32783483212484,8.56571681159831,0,1,6387.7817,-0.005085806,5,1,false,false,-0.664433,1.6449109,9.65357,2.0095484,-0.0099967,3
52.603054,0.002560588,49.327841935348154,8.565711721556772,0,1,6390.2764,-0.002906175,5,1,false,false,-0.6558733,1.6462064,10.727406,2.009387,-0.009051677,3
52.62935,0.0027541965,49.32784903857147,8.565706493810383,0,1,6394.609,-0.0021805675,5,1,false,false,-0.49744263,1.5842147,9.769038,2.0092504,-0.006987293,3
52.65509,0.0029478997,49.32785614193199,8.565701266063995,0,1,6399.129,-0.0014540235,5,1,false,false,-0.65563524,1.5860374,9.071765,2.0091548,-0.0054082717,3
52.68219,0.0031417026,49.32786324515531,8.565696038317604,0,1,6403.6387,-0.0007265436,5,1,false,false,-0.6988871,1.6814302,9.61548,2.00908,-0.004005828,3
52.70924,0.0033356051,49.32787043838142,8.565690810571216,0,1,6401.1655,-0.001695581,5,1,false,false,-0.52445745,1.6330186,9.605091,2.0090213,-0.0021015361,3
52.735313,0.003529609,49.327877541741934,8.565685582824827,0,1,6402.9453,-0.0016955808,5,1,false,false,-0.5596271,1.5596699,9.524171,2.0089927,-0.0006300877,3
52.760677,0.003723703,49.327884644965245,8.565680355078436,0,1,6412.5864,-0.0016955808,5,1,false,false,-0.57568544,1.5160652,9.712033,2.0089743,-0.0010014764,3
52.785934,0.0039178883,49.327891838191356,8.565675128171712,0,1,6418.371,-0.003148668,5,1,false,false,-0.49300453,1.5492305,10.217129,2.0089667,0.00018224005,3
52.81189,0.004112176,49.327898941414674,8.565669900425322,0,1,6422.237,-0.0050858064,5,1,false,false,-0.63680017,1.6161561,10.5341625,2.0089848,0.0010907297,3
52.838547,0.0043065557,49.32790604477519,8.565664672678933,0,1,6425.255,-0.0060539073,5,1,false,false,-0.5447704,1.6565235,9.359465,2.0090075,0.00086431217,3
52.865646,0.004501044,49.327913237864095,8.565659582637396,0,1,6424.774,-0.0072635636,5,1,false,false,-0.48632145,1.6837828,10.073103,2.0090203,0.00041844204,3
52.893673,0.0046956195,49.32792034122461,8.565654354891006,0,1,6420.9062,-0.007991045,5,1,false,false,-0.47280174,1.6850977,9.940784,2.009012,-0.0012639943,3
52.919823,0.004890305,49.32792753445072,8.565649127144617,0,1,6418.3896,-0.008474161,5,1,false,false,-0.5966024,1.5313902,9.181026,2.008984,-0.0026468453,3
52.943985,0.0050850804,49.327934727676826,8.565643899398228,0,1,6430.103,-0.007991043,5,1,false,false,-0.47374055,1.5075449,9.28286,2.0089462,-0.0015347206,3
52.968666,0.0052799494,49.327941830900144,8.565638671651838,0,1,6439.465,-0.006053906,5,1,false,false,-0.64261794,1.5162232,9.363708,2.0088983,-0.0034606843,3
52.99334,0.0054749013,49.327949024126255,8.56563344390545,0,1,6440.275,-0.002180568,5,1,false,false,-0.18078275,1.4731195,9.945577,2.0088203,-0.003948394,3
53.018192,0.005669955,49.32795621735236,8.56562821615906,0,1,6450.2773,0.002419316,5,1,false,false,-0.29424703,1.4766561,9.743132,2.0087538,-0.003889586,3
53.043797,0.005865096,49.32796341044127,8.56562298841267,0,1,6457.471,0.007504186,5,1,false,false,-0.19285399,1.5901071,10.436338,2.0087276,-0.00072342745,3
53.07065,0.006060334,49.32797051380179,8.56561762296143,0,1,6455.48,0.012346562,5,1,false,false,-0.14550129,1.7336307,10.260374,2.0087473,0.0021987949,3
53.098705,0.006255675,49.32797770702789,8.565612396054703,0,1,6451.661,0.015736785,5,1,false,false,-0.055905282,1.7415105,9.958712,2.008837,0.007430188,3
53.126343,0.0064511206,49.3279849001168,8.565607168308315,0,1,6446.681,0.019610122,5,1,false,false,-0.06928417,1.6591253,10.355677,2.0090013,0.011115278,3
53.152775,0.006646662,49.32799209334291,8.565601940561926,0,1,6445.2305,0.022273805,5,1,false,false,-0.1872478,1.5765074,9.153054,2.0092125,0.013407144,3
53.177326,0.006842299,49.32799928656902,8.565596712815536,0,1,6449.35,0.022999413,5,1,false,false,0.17342593,1.4898204,10.490534,2.0094523,0.016639592,3
53.201317,0.007038025,49.32800647979512,8.565591485069147,0,1,6457.989,0.022515366,5,1,false,false,0.36664537,1.4599838,10.469251,2.0097506,0.019913454,3
53.22383,0.007233841,49.32801367302123,8.565586257322758,0,1,6464.9897,0.023725957,5,1,false,false,0.2254189,1.3486322,9.443494,2.010106,0.02214533,3
53.248745,0.007429738,49.32802086611014,8.565580891871516,0,1,6478.042,0.023484403,5,1,false,false,0.3835426,1.5403358,9.266737,2.0104933,0.023810705,3
53.27454,0.0076257316,49.32802805933625,8.565575664125127,0,1,6474.9736,0.02178882,5,1,false,false,0.4081343,1.6143117,9.3847685,2.01091,0.025905658,3
53.30092,0.007821826,49.32803525256236,8.565570436378739,0,1,6471.2554,0.021062277,5,1,false,false,0.42954737,1.5837775,9.523444,2.011341,0.025870433,3
53.325924,0.008018009,49.328042535654056,8.56556507176716,0,1,6477.3086,0.01961013,5,1,false,false,0.5174933,1.4813083,9.660175,2.011776,0.02653199,3
53.350025,0.008214283,49.32804972888016,8.565559844020772,0,1,6484.5225,0.017914545,5,1,false,false,0.53130364,1.4857547,9.249892,2.0122187,0.026634777,3
53.374752,0.008410646,49.32805692210627,8.565554616274381,0,1,6488.507,0.01670489,5,1,false,false,0.58907735,1.531788,10.013176,2.012658,0.026447166,3
53.400135,0.0086071,49.32806411533238,8.56554925082314,0,1,6490.4883,0.0152518,5,1,false,false,0.70807326,1.5644629,9.962412,2.013083,0.024845358,3
53.42548,0.008803657,49.328071308421286,8.565544023076752,0,1,6492.666,0.013799647,5,1,false,false,0.6675815,1.5267557,9.837726,2.0135016,0.02481705,3
53.45092,0.009000305,49.32807859165018,8.565538657625511,0,1,6495.396,0.013073105,5,1,false,false,0.57862383,1.5788084,10.024409,2.0139177,0.024054937,3
53.47677,0.009197045,49.328085784739095,8.565533429879121,0,1,6494.6777,0.012346562,5,1,false,false,0.6766763,1.5818901,10.161174,2.014304,0.022248931,3
53.502068,0.009393882,49.3280929779652,8.565528065267545,0,1,6493.413,0.010894408,5,1,false,false,0.8288791,1.547642,10.348685,2.0146642,0.021161696,3
53.527138,0.00959081,49.3281002610569,8.565522699816302,0,1,6497.103,0.010651916,5,1,false,false,0.73715013,1.5070215,10.162146,2.0150037,0.019487316,3
53.551483,0.009787825,49.32810745428301,8.565517472069914,0,1,6500.1133,0.0094413245,5,1,false,false,0.6477225,1.4852985,9.781509,2.0153143,0.017425565,3
53.57586,0.009984937,49.328114737374705,8.565512106618673,0,1,6503.449,0.00798917,5,1,false,false,0.6729116,1.5028797,10.061987,2.0155985,0.01672356,3
53.600132,0.010182133,49.328121930600815,8.56550674116743,0,1,6506.245,0.007261692,5,1,false,false,0.7472278,1.4948666,10.234194,2.0158632,0.015458464,3
53.624084,0.0103794215,49.32812921369251,8.565501376555854,0,1,6510.0493,0.0055670473,5,1,false,false,0.69546413,1.4675412,10.293085,2.0161037,0.0134710865,3
53.648468,0.0105767995,49.328136406918624,8.565496011104612,0,1,6515.0117,0.0045989463,5,1,false,false,0.68702006,1.4932321,10.312548,2.0163262,0.01272613,3
53.672974,0.0107742585,49.32814369001032,8.565490783358223,0,1,6516.61,0.003388353,5,1,false,false,0.5418482,1.5004182,9.42375,2.0165305,0.01087125,3
53.697178,0.010971817,49.32815088323643,8.565485417906983,0,1,6517.4453,0.0036308467,5,1,false,false,0.44768888,1.5202678,8.890814,2.016691,0.008424313,3
53.721626,0.011169458,49.32815816632813,8.565480052455742,0,1,6520.2686,0.003630846,5,1,false,false,0.54444224,1.488416,9.433815,2.016802,0.0062128576,3
53.745113,0.011367181,49.328165359554234,8.565474687844164,0,1,6522.9214,0.0031467953,5,1,false,false,0.57308906,1.3880275,9.945856,2.0168972,0.0067106048,3
53.76753,0.011564984,49.32817264264594,8.565469322392923,0,1,6532.818,0.0045989463,5,1,false,false,0.38877755,1.3381903,9.776945,2.0170107,0.006924905,3
53.789993,0.011762868,49.328179925737636,8.56546395694168,0,1,6544.9272,0.00532549,5,1,false,false,0.41573986,1.4408193,10.336382,2.0171227,0.0064538913,3
53.814747,0.01196083,49.32818711896374,8.565458454625253,0,1,6547.637,0.0050839325,5,1,false,false,0.41057837,1.5848558,10.019435,2.017237,0.0064438344,3
53.840775,0.012158862,49.328194402055445,8.56545308917401,0,1,6540.9263,0.005567047,5,1,false,false,0.3612522,1.6187162,9.82466,2.0173674,0.0076601235,3
53.866978,0.012356998,49.32820168514714,8.56544772372277,0,1,6537.6963,0.006293591,5,1,false,false,0.35393345,1.572387,10.044146,2.0174916,0.007114618,3
53.89157,0.012555224,49.32820896823884,8.565442358271529,0,1,6536.227,0.006536085,5,1,false,false,0.32515442,1.4786427,9.73475,2.0176039,0.0066273096,3
53.915,0.012753537,49.32821616146495,8.56543699365995,0,1,6540.548,0.007261692,5,1,false,false,0.53113925,1.4073298,9.491475,2.0177112,0.00763427,3
53.93766,0.012951934,49.32822344455665,8.565431490503858,0,1,6547.2134,0.007504186,5,1,false,false,0.2624409,1.394381,10.298658,2.0178347,0.007233325,3
53.96048,0.013150422,49.328230727785545,8.565426125052618,0,1,6553.559,0.008473222,5,1,false,false,0.28374225,1.3998207,9.219203,2.0179632,0.007851878,3
53.9834,0.013348989,49.32823801087724,8.565420759601375,0,1,6558.4824,0.009198828,5,1,false,false,0.29518446,1.3926507,9.0973425,2.0180883,0.0078359675,3
54.006847,0.013547648,49.32824529396895,8.565415257284947,0,1,6564.011,0.009441324,5,1,false,false,0.3182511,1.4843565,9.71524,2.01822,0.00859965,3
54.03029,0.013746391,49.328252577060645,8.565409891833706,0,1,6567.186,0.01089441,5,1,false,false,0.4354756,1.4361278,9.290832,2.0183673,0.009939524,3
54.05385,0.013945218,49.32825986015234,8.565404526382464,0,1,6570.654,0.012346564,5,1,false,false,0.32919642,1.4402605,9.876484,2.0185468,0.011405147,3
54.077938,0.014144135,49.32826714324404,8.565399024066036,0,1,6574.969,0.013799649,5,1,false,false,0.40263063,1.475692,9.655816,2.018742,0.012033861,3
54.102432,0.014343148,49.328274426472944,8.565393658614793,0,1,6574.6377,0.015251802,5,1,false,false,0.46977708,1.5019273,9.31667,2.0189562,0.013509592,3
54.12696,0.014542247,49.32828170956464,8.5653881554587,0,1,6573.839,0.017188936,5,1,false,false,0.46414226,1.5123785,10.415159,2.0191894,0.014413323,3
54.15113,0.014741438,49.32828899265634,8.565382790847124,0,1,6575.216,0.01936763,5,1,false,false,0.61221063,1.4679015,9.762965,2.019448,0.016557168,3
54.17459,0.014940718,49.32829627574804,8.56537728769103,0,1,6577.3633,0.021788819,5,1,false,false,0.58232033,1.4281397,9.649122,2.0197427,0.018855507,3
54.19806,0.015140085,49.328303558839735,8.565371784534937,0,1,6581.5063,0.02493655,5,1,false,false,0.58693033,1.4457016,10.020524,2.0200725,0.020788157,3
54.22156,0.015339539,49.328310931934226,8.56536641992336,0,1,6583.03,0.028326776,5,1,false,false,0.81421685,1.4172077,9.6053095,2.0204272,0.022623114,3
54.244747,0.015539082,49.32831821502593,8.565360916767267,0,1,6584.8774,0.03147451,5,1,false,false,0.822371,1.4059292,9.783961,2.0208359,0.026396781,3
54.267834,0.015738709,49.32832549811763,8.565355413611174,0,1,6590.7485,0.03558942,5,1,false,false,0.99578464,1.4127818,9.8751545,2.0213013,0.030081727,3
54.2908,0.015938418,49.328332781209326,8.565349911294744,0,1,6593.728,0.03776904,5,1,false,false,0.9968729,1.409106,9.792308,2.0218298,0.033245593,3
54.31392,0.01613822,49.32834015430382,8.565344545843503,0,1,6596.3267,0.04043178,5,1,false,false,1.1110642,1.4297835,9.296923,2.0224078,0.036494486,3
54.33719,0.016338108,49.328347437395514,8.56533904268741,0,1,6599.0366,0.040431783,5,1,false,false,1.2337694,1.4284806,9.743475,2.0230424,0.039865464,3
54.360558,0.016538072,49.32835472048721,8.56533354037098,0,1,6600.7466,0.040431783,5,1,false,false,1.2724794,1.3990109,9.463346,2.0237331,0.042905007,3
54.38337,0.016738134,49.32836200357892,8.565328037214888,0,1,6602.6978,0.03922213,5,1,false,false,1.1455308,1.3818291,9.320055,2.024464,0.044383425,3
54.40619,0.016938275,49.32836937667341,8.565322534898458,0,1,6608.729,0.03728499,5,1,false,false,1.3046588,1.399477,9.81993,2.0252008,0.044468712,3
54.428917,0.017138505,49.328376659765105,8.565316894037514,0,1,6611.696,0.03413726,5,1,false,false,1.4270743,1.3790549,10.075555,2.0259466,0.045408163,3
54.45184,0.017338816,49.3283839428568,8.565311391721085,0,1,6614.5938,0.03268417,5,1,false,false,1.5131366,1.4076306,10.162495,2.0267045,0.045610856,3
54.47488,0.017539205,49.32839131595129,8.56530588856499,0,1,6618.6333,0.030747034,5,1,false,false,1.540313,1.4212459,9.636262,2.0274687,0.045146972,3
54.498463,0.017739689,49.32839859904299,8.565300385408898,0,1,6618.9424,0.029778931,5,1,false,false,1.5263166,1.4540117,9.886616,2.028219,0.043814,3
54.522327,0.017940259,49.32840597200028,8.565294745387618,0,1,6616.203,0.028326781,5,1,false,false,1.5422242,1.4551612,10.248067,2.0289443,0.042069964,3
54.545322,0.018140914,49.32841325509198,8.565289242231524,0,1,6616.4727,0.026632136,5,1,false,false,1.6570884,1.4033923,10.143786,2.0296302,0.04061066,3
54.567535,0.018341657,49.328420538320884,8.565283739915095,0,1,6621.4595,0.025421541,5,1,false,false,1.7660307,1.3635619,10.008312,2.0302866,0.03929423,3
54.589607,0.01854248,49.328427911278176,8.56527809905415,0,1,6625.0303,0.02542154,5,1,false,false,1.6995349,1.3493565,10.243111,2.030915,0.036549546,3
54.611996,0.018743392,49.328435194369874,8.565272459032869,0,1,6627.6226,0.024210008,5,1,false,false,1.565548,1.3594593,9.846968,2.031514,0.034410357,3
54.633965,0.018944377,49.328442567464364,8.565266955876776,0,1,6631.3945,0.022031318,5,1,false,false,1.5383269,1.3630145,10.237467,2.0320966,0.03405837,3
54.656136,0.019145444,49.32844985055606,8.565261315855494,0,1,6635.827,0.020820722,5,1,false,false,1.5438979,1.3998594,10.138369,2.0326672,0.033697534,3
54.6786,0.0193466,49.328457223513354,8.56525567499455,0,1,6636.6113,0.019367633,5,1,false,false,1.5623255,1.4082437,10.025363,2.0332131,0.031887006,3
54.701344,0.019547839,49.32846450674225,8.565250034973268,0,1,6637.019,0.018399535,5,1,false,false,1.7053056,1.3835171,10.13968,2.0337195,0.029582025,3
54.72374,0.019749163,49.32847187969954,8.565244394951987,0,1,6639.145,0.016462397,5,1,false,false,1.4807239,1.3595922,9.967576,2.0341911,0.026693415,3
54.745586,0.019950563,49.32847916279124,8.565238754091043,0,1,6642.1104,0.015251802,5,1,false,false,1.5000172,1.3327434,10.327506,2.0346308,0.025990156,3
54.767223,0.020152051,49.32848653588573,8.56523311406976,0,1,6646.7207,0.013314664,5,1,false,false,1.3839084,1.3439493,9.597305,2.0350444,0.023853587,3
54.78881,0.020353615,49.32849381897743,8.565227473208816,0,1,6650.7007,0.01137846,5,1,false,false,1.3663207,1.3398091,9.190621,2.0354264,0.022107769,3
54.810787,0.020555265,49.32850119193472,8.565221833187534,0,1,6653.4375,0.010651917,5,1,false,false,1.2205822,1.373518,9.697766,2.0357642,0.018875387,3
54.832596,0.020756992,49.32850847516362,8.56521619232659,0,1,6655.7896,0.010409423,5,1,false,false,1.1681606,1.3154248,9.119331,2.036053,0.016624914,3
54.85352,0.0209588,49.32851584812091,8.56521055230531,0,1,6661.9414,0.01016693,5,1,false,false,1.1114368,1.2771912,9.079602,2.036309,0.015150133,3
54.87464,0.021160692,49.32852313121261,8.565204774579176,0,1,6670.644,0.010409425,5,1,false,false,1.009883,1.3049315,9.282051,2.0365524,0.0145883355,3
54.896286,0.021362657,49.3285305043071,8.565199133718231,0,1,6674.121,0.0113784615,5,1,false,false,1.0639147,1.3393186,9.360049,2.0367818,0.013738765,3
54.918423,0.021564709,49.328537877264395,8.56519349369695,0,1,6676.46,0.011620955,5,1,false,false,0.99879193,1.3669322,9.831066,2.0370111,0.013554266,3
54.941097,0.021766843,49.32854516035609,8.565187715131152,0,1,6679.2646,0.012831547,5,1,false,false,0.8944911,1.3920926,10.177929,2.0372536,0.014204896,3
54.96407,0.021969058,49.32855253345058,8.565182075109872,0,1,6678.0625,0.013314664,5,1,false,false,1.1266332,1.4456105,11.542937,2.0375178,0.016770612,3
54.987713,0.022171369,49.32855990647647,8.565176297383738,0,1,6675.2104,0.0133146625,5,1,false,false,1.0786616,1.442479,10.802217,2.0378058,0.017446766,3
55.01108,0.022373768,49.32856718956817,8.565170656522794,0,1,6671.748,0.013557157,5,1,false,false,1.0989031,1.4170249,10.899586,2.0380797,0.015204932,3
55.033833,0.022576252,49.32857456259406,8.565164878796661,0,1,6670.34,0.013314662,5,1,false,false,0.89412236,1.3683922,10.195817,2.0383537,0.014832408,3
55.055023,0.02277882,49.32858193561995,8.565159101070527,0,1,6669.3145,0.0133146625,5,1,false,false,0.62955165,1.3293573,9.832341,2.0386136,0.014238419,3
55.07518,0.022981463,49.32858921878025,8.565153460209583,0,1,6674.831,0.012589058,5,1,false,false,0.5900395,1.2838898,9.937369,2.0388381,0.0130058825,3
55.094933,0.023184184,49.32859659180614,8.565147682483449,0,1,6682.7046,0.011862512,5,1,false,false,0.6268021,1.1448042,8.283355,2.0390167,0.01051396,3
55.11302,0.02338698,49.328603964832034,8.565141904757317,0,1,6687.401,0.014041204,5,1,false,false,0.6337789,0.9852254,8.5428705,2.0391865,0.011461888,3
55.13075,0.023589836,49.32861133785792,8.56513612619152,0,1,6700.9,0.020820722,5,1,false,false,0.37229794,1.2169521,9.686533,2.03941,0.0125069935,3
55.147984,0.023792764,49.328618710883816,8.565130348465386,0,1,6713.5864,0.027841793,5,1,false,false,1.4232574,1.1175611,11.436149,2.039657,0.020421335,3
55.170135,0.02399576,49.328625993975514,8.565124570739254,0,1,6727.281,0.030021422,5,1,false,false,1.057858,1.4641597,10.854885,2.0401042,0.029441562,3
55.197308,0.02419887,49.3286333670014,8.56511879301312,0,1,6702.3076,0.0355894,5,1,false,false,1.1957586,1.1318682,8.874554,2.0406463,0.03554747,3
55.22331,0.024402058,49.328640740027296,8.565113014447324,0,1,6695.7534,0.031715136,5,1,false,false,0.9758661,1.8850183,8.38467,2.0412526,0.034799766,3
55.2473,0.024605347,49.328648113053184,8.565107236721191,0,1,6691.6294,0.02856927,5,1,false,false,0.85686123,1.1811609,9.194731,2.041834,0.03559482,3
55.263702,0.024808712,49.32865548607908,8.565101458995057,0,1,6685.4087,0.028809888,5,1,false,false,1.5392861,1.0099763,13.010048,2.0423667,0.03419311,3
