Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
52.33507,2.932877e-05,49.32774860355154,8.56577871832587,0,1,6361.925,-0.012347499,5,1,false,false,-0.7730322,1.700353,7.4002748,2.0130644,-0.01630086,3
52.36319,0.00022194644,49.32775570691206,8.565773490579481,0,1,6365.767,-0.009442258,5,1,false,false,-0.9205251,1.8140723,8.523503,2.0128171,-0.012568999,3
52.390373,0.00041466428,49.32776272026978,8.56576826283309,0,1,6363.465,-0.007989173,5,1,false,false,-0.7510869,1.5013328,9.352964,2.0126007,-0.009274731,3
52.41199,0.00060747634,49.3277698234931,8.565763035086702,0,1,6383.702,-0.007989172,5,1,false,false,-0.56942767,1.2294977,9.016756,2.0124085,-0.010271516,3
52.4354,0.0008003703,49.32777692685361,8.565757807340313,0,1,6422.649,-0.008715715,5,1,false,false,-0.67573386,1.5946327,8.629854,2.0122387,-0.010774665,3
52.465885,0.0009933658,49.32778403007693,8.565752717298775,0,1,6418.8994,-0.009926308,5,1,false,false,-0.97702503,2.0628736,8.782473,2.0120678,-0.01198577,3
52.501076,0.0011864827,49.32779104343465,8.565747489552386,0,1,6391.0093,-0.010894408,5,1,false,false,-0.96102095,2.1318855,9.401131,2.0118906,-0.010312318,3
52.53368,0.0013797246,49.32779814679517,8.565742261805998,0,1,6384.5107,-0.012105003,5,1,false,false,-0.6665535,1.8369801,8.993808,2.011717,-0.009197837,3
52.562843,0.0015730794,49.327805250018486,8.565737034899271,0,1,6390.6367,-0.012347499,5,1,false,false,-0.9967052,1.728106,9.664329,2.011584,-0.0078016385,3
52.590927,0.0017665433,49.327812353379,8.565731807152883,0,1,6392.002,-0.011620955,5,1,false,false,-0.885358,1.7294576,10.036627,2.0114353,-0.009077198,3
52.618168,0.0019601106,49.32781945660232,8.565726579406492,0,1,6394.3667,-0.009926312,5,1,false,false,-0.9952601,1.6433342,9.86019,2.0112686,-0.0106447805,3
52.64617,0.0021537796,49.32782655982564,8.565721351660104,0,1,6404.21,-0.007505124,5,1,false,false,-0.6119859,1.693896,9.618042,2.0110903,-0.009485782,3
52.67408,0.0023475492,49.327833663186155,8.565716123913715,0,1,6403.5625,-0.004599884,5,1,false,false,-0.75258803,1.7213062,9.266139,2.0109458,-0.008701834,3
52.702805,0.0025414277,49.32784076640947,8.565710896167325,0,1,6404.8564,-0.0007256072,5,1,false,false,-0.64512014,1.7511837,10.7922125,2.010804,-0.00800084,3
52.73035,0.002735413,49.32784795963558,8.565705668420936,0,1,6409.606,0.0014530873,5,1,false,false,-0.57098866,1.6624067,9.761566,2.0106897,-0.0061140424,3
52.75757,0.002929493,49.32785506299609,8.565700302969695,0,1,6415.1655,0.0031477322,5,1,false,false,-0.5902369,1.6631265,9.025363,2.010627,-0.0023635658,3
52.78621,0.003123679,49.32786216621941,8.565695075223305,0,1,6417.456,0.004358326,5,1,false,false,-0.6390028,1.7841549,9.781085,2.010607,-0.0004146214,3
52.814957,0.0033179712,49.327869359445515,8.565689847476916,0,1,6414.4077,0.00460082,5,1,false,false,-0.4154477,1.7229407,9.798315,2.010604,0.0016147848,3
52.842354,0.0035123643,49.32787646266883,8.56568462057019,0,1,6416.725,0.0033902258,5,1,false,false,-0.39473462,1.6110336,9.397595,2.0106425,0.0038548673,3
52.8687,0.0037068634,49.32788356602935,8.565679392823801,0,1,6427.1567,0.0026636817,5,1,false,false,-0.5190969,1.5939993,9.485376,2.0107088,0.0040084724,3
52.894947,0.0039014502,49.32789075911826,8.565674165077413,0,1,6434.122,0.0016955805,5,1,false,false,-0.5012071,1.6308783,10.156518,2.0107844,0.004870945,3
52.922005,0.0040961425,49.32789786247878,8.565668937331022,0,1,6437.858,0.0004849867,5,1,false,false,-0.43324137,1.669602,10.660351,2.0108826,0.0065319636,3
52.95005,0.0042909416,49.32790505570488,8.565663709584634,0,1,6440.5923,9.362702e-07,5,1,false,false,-0.39591622,1.7165537,9.371405,2.0110013,0.006914193,3
52.978436,0.0044858404,49.3279121589282,8.565658481838245,0,1,6440.1934,0.00024249332,5,1,false,false,-0.11425032,1.7597923,10.174308,2.0111122,0.006859923,3
53.00753,0.004680848,49.32791935215431,8.565653116387002,0,1,6437.145,0.0007265437,5,1,false,false,-0.34951752,1.7648429,10.012334,2.0112138,0.004918654,3
53.035065,0.0048759533,49.327926545380414,8.565647888640614,0,1,6434.645,0.002179631,5,1,false,false,-0.44411847,1.6187553,9.224884,2.0113065,0.0048762574,3
53.060204,0.0050711636,49.327933738606525,8.565642660894225,0,1,6445.3374,0.0031477325,5,1,false,false,-0.0010989159,1.5702267,9.566806,2.0113916,0.0076391445,3
53.085945,0.0052664615,49.32794084182984,8.565637433147835,0,1,6456.051,0.004358326,5,1,false,false,-0.22515003,1.557878,9.640192,2.0114946,0.0069055343,3
53.1117,0.0054618623,49.32794803505595,8.565632205401446,0,1,6458.1025,0.0067795143,5,1,false,false,-0.00503096,1.4982975,9.046756,2.0115805,0.0051723397,3
53.13671,0.005657351,49.32795522828206,8.565626840789868,0,1,6470.8384,0.0072635636,5,1,false,false,-0.29679626,1.6580437,9.591792,2.0117002,0.0063211285,3
53.163506,0.0058529354,49.32796242137096,8.56562161304348,0,1,6479.267,0.008232602,5,1,false,false,-0.27923906,1.7891346,10.694775,2.0118616,0.010198629,3
53.19141,0.0060486263,49.32796961459707,8.56561638529709,0,1,6472.392,0.008716651,5,1,false,false,0.036060795,1.6936536,10.474837,2.012043,0.011881468,3
53.222214,0.0062444257,49.32797680782318,8.565611019845848,0,1,6470.15,0.008474158,5,1,false,false,0.52772033,1.7163811,10.4611635,2.012245,0.013582711,3
53.252098,0.006440333,49.32798400104929,8.56560579209946,0,1,6461.8594,0.00799011,5,1,false,false,0.24869898,1.7627035,10.150051,2.012473,0.012476443,3
53.279797,0.006636352,49.3279911942754,8.56560056435307,0,1,6457.6323,0.007990108,5,1,false,false,-0.117505565,1.6532218,9.145183,2.012683,0.010793955,3
53.304485,0.0068324665,49.3279983873643,8.565595199741493,0,1,6465.685,0.0072635645,5,1,false,false,0.14627609,1.5277351,10.262336,2.012848,0.010506455,3
53.328648,0.007028671,49.328005580590414,8.565589971995104,0,1,6479.464,0.006537957,5,1,false,false,0.24313733,1.4767406,10.06881,2.013013,0.010730099,3
53.351925,0.007224964,49.32801277381652,8.565584606543863,0,1,6487.148,0.006537957,5,1,false,false,0.092868045,1.3854489,9.341944,2.0131974,0.010985395,3
53.378353,0.0074213496,49.32801996704263,8.565579378797473,0,1,6499.689,0.0075060586,5,1,false,false,0.18271595,1.6533186,9.313754,2.0133848,0.010875106,3
53.405415,0.0076178308,49.32802716026873,8.565574013346232,0,1,6497.4185,0.008716651,5,1,false,false,0.20846443,1.6940259,9.235578,2.0135705,0.01149573,3
53.433876,0.007814417,49.32803444336043,8.565568785599844,0,1,6493.5215,0.009684751,5,1,false,false,0.17518432,1.6961089,9.287043,2.0137603,0.01112606,3
53.46078,0.008011103,49.32804163658654,8.565563420148601,0,1,6496.3496,0.011137839,5,1,false,false,0.33738768,1.6063342,9.650626,2.013946,0.011903946,3
53.48644,0.008207889,49.32804882967545,8.565558055537025,0,1,6502.7446,0.011380334,5,1,false,false,0.37349892,1.5728737,9.604697,2.0141447,0.012682951,3
53.512543,0.00840477,49.32805611290435,8.565552827790635,0,1,6507.5884,0.011864383,5,1,false,false,0.38947558,1.5685824,9.911299,2.014354,0.0130284205,3
53.53903,0.008601745,49.328063305993254,8.565547462339394,0,1,6509.592,0.011864384,5,1,false,false,0.43220288,1.6448417,10.170218,2.0145683,0.012593795,3
53.5656,0.008798824,49.328070499219365,8.565542096888153,0,1,6512.0474,0.011380334,5,1,false,false,0.5288506,1.627076,10.178112,2.0147948,0.014306272,3
53.59234,0.008995999,49.32807778231106,8.565536869141763,0,1,6514.03,0.011137839,5,1,false,false,0.30620334,1.6460664,10.243947,2.0150442,0.014506662,3
