Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,LongAccel,VertAccel,Yaw,PositionType
52.99804,0.00030631552,49.327764968144365,8.565790824597544,0,1,6430.6055,-0.01277452,5,1,false,false,-0.8416873,1.71521,8.650917,2.02294,3
53.02158,0.0005013397,49.32777207136768,8.565785459146303,0,1,6435.973,-0.012292621,5,1,false,false,-1.1072145,1.1894138,9.663825,2.0227,3
53.040913,0.0006964284,49.3277791747282,8.56578009369506,0,1,6473.692,-0.012534035,5,1,false,false,-1.2371769,1.2739435,9.284389,2.0224395,3
53.067005,0.00089160475,49.32778627795151,8.565774591378633,0,1,6505.8203,-0.013497831,5,1,false,false,-1.1098386,1.8170252,8.2872715,2.022139,3
53.103043,0.0010868999,49.32779338131203,8.56576922592739,0,1,6477.0073,-0.013979731,5,1,false,false,-1.0732635,2.474192,8.884483,2.0218225,3
53.14101,0.0012823322,49.32780057440094,8.56576386047615,0,1,6439.088,-0.013979732,5,1,false,false,-1.151355,2.1964986,10.512283,2.0215042,3
53.171474,0.001477889,49.327807677761456,8.565758495864571,0,1,6439.184,-0.01373925,5,1,false,false,-1.1156394,1.689522,9.679591,2.021203,3
53.197556,0.0016735517,49.32781487098756,8.565752992708479,0,1,6457.0327,-0.012534037,5,1,false,false,-1.2503574,1.5620366,9.864986,2.02092,3
53.22529,0.0018693126,49.32782197421088,8.565747627257238,0,1,6458.567,-0.011570239,5,1,false,false,-1.2873604,1.7313541,10.757219,2.0206468,3
53.253426,0.0020651685,49.32782916743699,8.565742261805998,0,1,6453.995,-0.010846924,5,1,false,false,-1.1203601,1.705188,10.076188,2.0203867,3
53.280216,0.0022611364,49.3278362706603,8.56573689719442,0,1,6463.2334,-0.009882194,5,1,false,false,-1.2382966,1.6383548,9.233333,2.0201664,3
53.30675,0.0024571994,49.32784346388641,8.565731394038327,0,1,6473.417,-0.008436494,5,1,false,false,-1.0718716,1.658148,10.449661,2.0199323,3
53.334763,0.0026533632,49.32785065711252,8.565726028587086,0,1,6471.482,-0.007713182,5,1,false,false,-1.0188117,1.6771129,9.671329,2.0197136,3
53.362347,0.0028496298,49.327857850338624,8.565720663975508,0,1,6472.4185,-0.0060260687,5,1,false,false,-0.89795625,1.6413378,9.225717,2.019517,3
53.388638,0.0030459885,49.327865043564735,8.565715298524267,0,1,6485.2603,-0.0053027547,5,1,false,false,-0.90982103,1.6507484,9.955432,2.019343,3
53.41634,0.0032424538,49.32787214678805,8.565709795368173,0,1,6488.88,-0.0045794398,5,1,false,false,-0.7452953,1.6727232,9.174111,2.0191896,3
53.444466,0.0034390173,49.32787934001416,8.565704429916932,0,1,6484.5464,-0.00361564,5,1,false,false,-0.97280943,1.7030053,8.470943,2.0190783,3
53.4717,0.0036356864,49.32788653324027,8.565699065305354,0,1,6491.526,-0.0024104267,5,1,false,false,-0.75201136,1.6431543,8.729531,2.0189645,3
53.498898,0.0038324497,49.32789372632917,8.565693699854114,0,1,6498.6626,-0.001927596,5,1,false,false,-0.6862608,1.587358,9.50307,2.018882,3
53.524696,0.004029314,49.32790091955528,8.565688196698021,0,1,6502.156,-0.0014456969,5,1,false,false,-0.7200819,1.5679601,10.331131,2.0188565,3
53.550655,0.0042262743,49.32790820264698,8.565682832086443,0,1,6516.6475,-0.0014456972,5,1,false,false,-0.7793439,1.5918691,9.285823,2.0188541,3
53.57865,0.004423329,49.32791539587309,8.565677466635202,0,1,6522.23,-0.0019275965,5,1,false,false,-0.6943841,1.788542,9.022026,2.0188465,3
53.610146,0.0046205,49.327922589099195,8.565672101183962,0,1,6510.3486,-0.0031328092,5,1,false,false,-0.635555,1.9458374,10.146791,2.0188498,3
53.640713,0.0048177848,49.327929782325306,8.565666598027867,0,1,6498.172,-0.004820855,5,1,false,false,-0.7610264,1.7580653,10.512443,2.0188658,3
53.667595,0.00501517,49.327937065417004,8.565661233416291,0,1,6503.5757,-0.0060260687,5,1,false,false,-0.72491425,1.5731328,10.2122135,2.018867,3
53.693233,0.0052126558,49.327944258643114,8.56565586796505,0,1,6516.9277,-0.006507966,5,1,false,false,-0.6777378,1.5682011,10.810343,2.0188322,3
53.71999,0.005410232,49.32795145173202,8.565650364808956,0,1,6517.448,-0.0062674847,5,1,false,false,-0.63369954,1.6752506,10.184803,2.018767,3
53.747627,0.005607915,49.327958734960916,8.56564500019738,0,1,6515.738,-0.004820854,5,1,false,false,-0.5595895,1.6639175,9.979132,2.018674,3
53.774494,0.0058056954,49.32796592804983,8.565639634746137,0,1,6520.2314,-0.0026518423,5,1,false,false,-0.5211723,1.6533183,10.684219,2.0185673,3
53.80094,0.0060035777,49.327973211278724,8.565634131590045,0,1,6524.697,-0.00024048367,5,1,false,false,-0.38951758,1.6055454,11.196009,2.0184677,3
53.82735,0.0062015518,49.327980404367636,8.565628766138804,0,1,6527.298,0.0014466292,5,1,false,false,-0.41051212,1.6153513,10.733688,2.0184042,3
53.853737,0.0063996203,49.32798768759653,8.565623401527226,0,1,6532.667,0.0033742252,5,1,false,false,-0.46704647,1.6330408,9.791404,2.0183797,3
53.880917,0.006597794,49.32799497068823,8.565617898371134,0,1,6534.171,0.0053027533,5,1,false,false,-0.33611447,1.6935846,8.508297,2.018363,3
53.908066,0.006796061,49.32800216391434,8.565612532919893,0,1,6530.1245,0.006267483,5,1,false,false,-0.3083346,1.6483499,10.842526,2.0183532,3
53.933903,0.006994433,49.32800944700604,8.565607030603463,0,1,6533.195,0.006507966,5,1,false,false,-0.073402286,1.5216253,10.578297,2.0183709,3
53.956547,0.007192889,49.32801673009774,8.565601665152222,0,1,6547.335,0.006507967,5,1,false,false,-0.42801386,1.2826997,9.289521,2.0184422,3
53.981937,0.007391429,49.328024013189435,8.56559616199613,0,1,6565.3755,0.006989865,5,1,false,false,-0.2932059,1.6737819,9.408662,2.0185053,3
54.009964,0.0075900746,49.32803129628114,8.565590797384552,0,1,6555.331,0.006989866,5,1,false,false,-0.19689001,1.7393923,9.331258,2.0185559,3
54.03809,0.0077888183,49.32803857937284,8.565585294228459,0,1,6545.8286,0.006507968,5,1,false,false,-0.08472881,1.6724747,9.9094715,2.0186186,3
54.063667,0.007987661,49.32804577259894,8.565579928777217,0,1,6557.3013,0.0062674847,5,1,false,false,-0.16311736,1.4995577,9.829284,2.0187159,3
54.087894,0.008186593,49.328053055690646,8.565574426460788,0,1,6568.162,0.0057846527,5,1,false,false,-0.22123149,1.4993948,9.075941,2.0188255,3
54.11342,0.008385617,49.32806033878234,8.565569061009548,0,1,6572.2524,0.0055441703,5,1,false,false,-0.1175181,1.610749,9.260895,2.0189342,3
54.140263,0.008584735,49.328067711876834,8.565563557853453,0,1,6573.125,0.0048208553,5,1,false,false,-0.08389601,1.635273,10.4039955,2.0190387,3
54.16684,0.008783956,49.32807499496853,8.565558055537025,0,1,6573.165,0.004097541,5,1,false,false,-0.05401525,1.596351,9.53137,2.0191522,3
54.19262,0.008983269,49.32808227806023,8.565552690085783,0,1,6578.4224,0.0033742252,5,1,false,false,-0.16944882,1.5766641,9.843169,2.0192766,3
54.21923,0.009182685,49.32808956115193,8.56554718692969,0,1,6583.3096,0.002169944,5,1,false,false,-0.14714812,1.6503686,10.113338,2.0193925,3
54.24591,0.009382194,49.32809684438083,8.565541684613262,0,1,6579.11,0.0007223822,5,1,false,false,0.015718281,1.616889,9.704069,2.0194924,3
54.272194,0.009581797,49.32810412747253,8.56553631916202,0,1,6580.734,-0.0007233147,5,1,false,false,-0.08805251,1.5888273,10.625811,2.0195901,3
54.297672,0.009781498,49.32811150042982,8.565530816005927,0,1,6587.3203,-0.0016871126,5,1,false,false,-0.16145137,1.554999,9.8933115,2.019671,3
54.323162,0.0099812895,49.32811878352152,8.565525313689497,0,1,6589.2026,-0.0021699439,5,1,false,false,-0.19135223,1.5641159,10.2073765,2.0197196,3
54.34936,0.010181173,49.328126066750414,8.565519810533404,0,1,6590.8154,-0.0021699439,5,1,false,false,-0.1536552,1.6070348,10.42481,2.0197396,3
54.3749,0.010381156,49.328133439707706,8.565514445082163,0,1,6592.395,-0.0019275965,5,1,false,false,0.0067984164,1.5458841,10.622686,2.0197334,3
54.40003,0.010581228,49.328140722799404,8.565508942765733,0,1,6596.707,-0.00096472993,5,1,false,false,-0.10252559,1.5701233,10.254938,2.0197406,3
54.42535,0.010781396,49.328148095893894,8.56550343960964,0,1,6601.416,0.000481899,5,1,false,false,-0.09963609,1.5545565,9.109661,2.0197387,3
54.450954,0.010981648,49.3281553789856,8.565497937293213,0,1,6600.5786,0.002410427,5,1,false,false,-0.08796677,1.5793594,8.711361,2.019726,3
54.476406,0.011182001,49.32816275194289,8.565492434137118,0,1,6601.824,0.003857057,5,1,false,false,-0.007626474,1.5132784,10.13563,2.0197067,3
54.500088,0.011382454,49.32817003517179,8.565486930981026,0,1,6607.6753,0.005544169,5,1,false,false,-0.13146548,1.3831277,9.736798,2.0197256,3
