Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,LongAccel,VertAccel,Yaw,PositionType
52.484474,0.00035888277,49.32776029252681,8.565768400537943,0,1,6371.2397,-0.028972432,5,1,false,false,-0.6351904,1.5388653,9.252339,2.0217407,3
52.506474,0.0005520309,49.327767305884535,8.565763172791554,0,1,6383.3047,-0.028972432,5,1,false,false,-0.8589757,1.2188944,8.708646,2.0213687,3
52.52694,0.0007452632,49.32777440924505,8.565757807340313,0,1,6424.734,-0.025206018,5,1,false,false,-0.9799019,1.4177942,8.363541,2.020955,3
52.55479,0.0009385836,49.32778151246837,8.565752579593923,0,1,6437.4185,-0.02520602,5,1,false,false,-1.1052951,1.9579377,9.179051,2.0205092,3
52.590504,0.001132017,49.327788525826094,8.565747214982347,0,1,6405.37,-0.02520602,5,1,false,false,-0.8481679,2.1915298,9.762419,2.0200245,3
52.624725,0.001325587,49.32779562918661,8.565741849531104,0,1,6386.998,-0.02520602,5,1,false,false,-0.960814,1.9628261,8.816275,2.0195396,3
52.654095,0.0015192804,49.32780273240993,8.565736621784716,0,1,6394.315,-0.02520602,5,1,false,false,-1.11879,1.721616,10.419846,2.0190823,3
52.681152,0.0017130717,49.327809835770445,8.565731256333475,0,1,6397.439,-0.029552048,5,1,false,false,-1.3229165,1.67248,10.045544,2.0186324,3
52.707726,0.0019069642,49.32781684912817,8.565725891721897,0,1,6399.2915,-0.029552052,5,1,false,false,-1.33214,1.5832224,10.346192,2.0181522,3
52.734543,0.002100958,49.32782395235149,8.565720663975508,0,1,6410.465,-0.029552052,5,1,false,false,-1.200814,1.6683018,9.42888,2.0176284,3
52.761673,0.0022950524,49.327831055574805,8.565715298524267,0,1,6412.9014,-0.025785638,5,1,false,false,-1.2907567,1.6824579,9.916654,2.0171103,3
52.78981,0.0024892478,49.32783815893532,8.565710070777877,0,1,6412.808,-0.023371182,5,1,false,false,-1.5802453,1.743361,10.316858,2.016583,3
52.81688,0.0026835536,49.32784526215864,8.565704705326636,0,1,6416.917,-0.01931533,5,1,false,false,-1.462017,1.6119304,9.791023,2.0160518,3
52.84383,0.0028779565,49.32785245538474,8.565699339875396,0,1,6424.791,-0.01728703,5,1,false,false,-1.2141205,1.6798836,9.788962,2.0155494,3
52.872383,0.0030724634,49.32785955874526,8.565694112129005,0,1,6423.9067,-0.013134453,5,1,false,false,-1.4534304,1.7948539,9.69493,2.0151124,3
52.901367,0.003267075,49.32786666196858,8.565688747517429,0,1,6417.092,-0.013134453,5,1,false,false,-1.3479147,1.7220227,9.555743,2.0147018,3
52.928513,0.0034617924,49.327873765191896,8.565683519771039,0,1,6420.244,-0.011106156,5,1,false,false,-1.3067782,1.591966,9.482257,2.0143378,3
52.953487,0.003656608,49.327880958418,8.565678154319798,0,1,6431.622,-0.011106155,5,1,false,false,-1.4816816,1.5271524,9.483162,2.0140312,3
52.978874,0.003851516,49.327888061778516,8.56567292657341,0,1,6440.499,-0.011106155,5,1,false,false,-1.2955742,1.5673164,10.09429,2.0137434,3
53.005226,0.004046518,49.32789525486743,8.565667561122167,0,1,6444.531,-0.013424265,5,1,false,false,-1.229354,1.6099881,10.298803,2.0134654,3
53.032585,0.004241624,49.327902358227945,8.565662333375778,0,1,6446.854,-0.01786665,5,1,false,false,-1.3681804,1.6815296,9.827101,2.0132115,3
53.060555,0.0044368342,49.32790955145405,8.565656968764202,0,1,6445.9316,-0.019604767,5,1,false,false,-1.316453,1.7305628,9.680134,2.0129437,3
53.088707,0.0046321484,49.32791665467737,8.56565160331296,0,1,6443.182,-0.019604765,5,1,false,false,-1.6048772,1.7432415,9.98947,2.0126557,3
53.115936,0.0048275683,49.32792384790348,8.56564637556657,0,1,6442.5757,-0.019604765,5,1,false,false,-1.3822621,1.6069334,9.596771,2.0123436,3
